column,level,collisions_where_it_varies,missing_share
_id,identifier,0,0.0
collision_id,identifier,0,0.0
per_no,identifier,0,0.0
veh_no,identifier,0,0.0241
accdate,collision,0,0.0
acclass,collision,0,0.0
accloc,collision,0,0.2636
aggressive,collision,0,0.0
cyclist,collision,0,0.0
distracted,collision,0,0.0
division,collision,0,0.0032
failtorem,collision,0,0.0
geometry,collision,0,0.0001
heavy_truck,collision,0,0.0
impactype,collision,0,0.0015
latitude,collision,0,0.0001
light,collision,0,0.0019
longitude,collision,0,0.0001
motorcyclist,collision,0,0.0
neighbourhood,collision,0,0.0073
older_adult,collision,0,0.0
other_micromobility,collision,0,0.0
pedestrian,collision,0,0.0
per_inv,collision,0,0.0
rdsfcond,collision,0,0.0034
red_light,collision,0,0.0
road_class,collision,0,0.0395
school_child,collision,0,0.0
stname1,collision,0,0.0
stname2,collision,0,0.0857
stname3,collision,0,0.7682
traffictl,collision,0,0.0079
visible,collision,0,0.0029
wardname,collision,0,0.0059
cycact,person,863,0.9569
cyccond,person,859,0.957
cyclistype,person,863,0.9571
drivact,person,6988,0.4857
drivcond,person,6578,0.4849
fatal_no,person,995,0.9471
initdir,person,6191,0.2822
injury,person,7060,0.4674
invage,person,7028,0.1268
manoeuvre,person,6641,0.4173
pedact,person,3315,0.8259
pedcond,person,3309,0.8262
pedtype,person,3264,0.8284
road_user,person,6584,0.0
safequip,person,4622,0.0698
vehtype,person,6634,0.4257
